Team ID,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Rk,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,TOV,PF,PTS,Finals
Oklahoma City Thunder*2010-2011,55,27,0.6709999999999999,1,3.81,92.7,0.6,111.2,3.9,107.2,-0.1,5,244.0,37.4,80.6,0.46399999999999997,5.9,17.1,0.34700000000000003,31.5,0.495,24.1,29.3,0.823,11.0,31.8,42.8,20.4,8.0,14.1,22.4,104.8,L
Oklahoma City Thunder*2009-2010,50,32,0.61,4,3.55,93.1,0.4,108.3,0.7,104.6,-3.0,14,241.5,37.4,80.8,0.462,5.1,15.0,0.34,32.3,0.49,21.7,27.0,0.805,11.7,31.8,43.5,20.0,8.0,15.0,21.3,101.5,L
Orlando Magic*2011-2012,37,29,0.561,3,0.46,89.0,-2.3,105.0,0.4,104.1,-0.5,21,241.9,34.5,78.2,0.441,10.2,27.0,0.375,24.3,0.475,15.1,22.8,0.66,11.2,31.2,42.5,20.0,6.8,14.9,17.7,94.2,L
Orlando Magic*2010-2011,52,30,0.634,2,4.92,91.2,-0.9,107.9,0.6,102.0,-5.3,16,241.8,36.0,78.2,0.461,9.4,25.6,0.366,26.7,0.507,17.7,25.6,0.6920000000000001,10.5,32.7,43.2,20.0,6.7,14.9,20.0,99.2,L
Orlando Magic*2009-2010,59,23,0.72,1,7.12,92.0,-0.7,111.4,3.8,103.3,-4.3,6,240.6,36.6,78.0,0.47,10.3,27.3,0.375,26.4,0.521,19.2,26.5,0.7240000000000001,9.9,33.4,43.2,19.7,6.2,14.1,19.9,102.8,L
Orlando Magic*2008-2009,59,23,0.72,1,6.48,92.3,0.6,109.2,0.9,101.9,-6.4,10,240.6,35.7,78.2,0.457,10.0,26.2,0.381,25.8,0.495,19.6,27.5,0.715,10.0,33.3,43.3,19.4,7.0,13.9,20.3,101.0,L
Philadelphia 76ers*2011-2012,35,31,0.53,3,3.59,89.7,-1.6,103.9,-0.7,99.2,-5.4,23,241.1,37.4,83.6,0.44799999999999995,5.3,14.6,0.36200000000000004,32.2,0.466,13.5,18.2,0.742,10.7,32.5,43.2,22.0,8.0,11.2,17.5,93.6,L
Philadelphia 76ers*2010-2011,41,41,0.5,3,1.01,91.7,-0.4,106.6,-0.7,105.0,-2.3,18,243.0,38.1,82.6,0.461,5.4,15.2,0.355,32.7,0.485,17.4,22.6,0.77,10.4,31.4,41.8,22.7,7.6,13.0,19.4,99.0,L
Philadelphia 76ers*2008-2009,41,41,0.5,2,0.16,90.0,-1.7,107.9,-0.4,107.8,-0.5,22,240.9,36.5,79.7,0.45899999999999996,4.2,13.1,0.318,32.4,0.486,20.1,27.0,0.745,12.7,28.5,41.2,20.1,8.0,14.1,20.1,97.4,L
Phoenix Suns*2009-2010,54,28,0.659,2,4.67,95.3,2.6,115.3,7.7,110.2,2.6,1,240.6,40.7,82.8,0.49200000000000005,8.9,21.6,0.41200000000000003,31.8,0.52,19.9,25.8,0.77,11.1,31.9,43.0,23.3,5.8,14.8,20.9,110.2,L
